UF,Estado,Região,Estado Acento,População
SP,Sao Paulo,SUDESTE,São Paulo,45919049
MG,Minas Gerais,SUDESTE,Minas Gerais,21168791
RJ,Rio de Janeiro,SUDESTE,Rio de Janeiro,17264943
BA,Bahia,NORDESTE,Bahia,14873064
PR,Parana,SUL,Paraná,11433957
RS,Rio Grande do Sul,SUL,Rio Grande do Sul,11377239
PE,Pernambuco,NORDESTE,Pernambuco,9557071
CE,Ceara,NORDESTE,Ceará,9132078
PA,Para,NORTE,Pará,8602865
SC,Santa Catarina,SUL,Santa Catarina,7164788
MA,Maranhao,NORDESTE,Maranhão,7075181
GO,Goias,CENTRO-OESTE,Goiás,7018354
AM,Amazonas,NORTE,Amazonas,4144597
ES,Espirito Santo,SUDESTE,Espírito Santo,4018650
PB,Paraiba,NORDESTE,Paraíba,4018127
RN,Rio Grande do Norte,NORDESTE,Rio Grande do Norte,3506853
MT,Mato Grosso,CENTRO-OESTE,Mato Grosso,3484466
AL,Alagoas,NORDESTE,Alagoas,3337357
PI,Piaui,NORDESTE,Piauí,3273227
DF,Distrito Federal,CENTRO-OESTE,Distrito Federal,3015268
MS,Mato Grosso do Sul,CENTRO-OESTE,Mato Grosso do Sul,2778986
SE,Sergipe,NORDESTE,Sergipe,2298696
RO,Rondonia,NORTE,Rondônia,1777225
TO,Tocantins,NORTE,Tocantins,1572866
AC,Acre,NORTE,Acre,881935
AP,Amapa,NORTE,Amapá,845731
RR,Roraima,NORTE,Roraima,605761
