Country Code;Parent Code;Country;Region;Sub-Region;Population 2010;Estimate Population 2020
4;5501;Afghanistan;CENTRAL AND SOUTHERN ASIA;Central Asia;29185511;38928341
8;925;Albania;EUROPE;Southern Europe;2948029;2877800
12;912;Algeria;NORTHERN AFRICA AND WESTERN ASIA;Northern Africa;35977451;43851043
20;925;Andorra;EUROPE;Southern Europe;84454;77265
24;911;Angola;SUB-SAHARAN AFRICA;Middle Africa;23356247;32866268
28;915;Antigua and Barbuda;LATIN AMERICA AND THE CARIBBEAN;Caribbean;88030;97928
32;931;Argentina;LATIN AMERICA AND THE CARIBBEAN;South America;40895751;45195777
51;922;Armenia;NORTHERN AFRICA AND WESTERN ASIA;Western Asia;2877314;2963234
36;927;Australia;AUSTRALIA/NEW ZEALAND;AUSTRALIA/NEW ZEALAND;22154687;25499881
40;926;Austria;EUROPE;Western Europe;8409945;9006400
31;922;Azerbaijan;NORTHERN AFRICA AND WESTERN ASIA;Western Asia;9032465;10139175
44;915;Bahamas;LATIN AMERICA AND THE CARIBBEAN;Caribbean;354936;393248
48;922;Bahrain;NORTHERN AFRICA AND WESTERN ASIA;Western Asia;1240864;1701583
50;5501;Bangladesh;CENTRAL AND SOUTHERN ASIA;Central Asia;147575433;164689383
52;915;Barbados;LATIN AMERICA AND THE CARIBBEAN;Caribbean;282131;287371
112;923;Belarus;EUROPE;Eastern Europe;9420576;9449321
56;926;Belgium;EUROPE;Western Europe;10938735;11589616
84;916;Belize;LATIN AMERICA AND THE CARIBBEAN;Central America;322465;397621
204;914;Benin;SUB-SAHARAN AFRICA;Western Africa;9199254;12123198
64;5501;Bhutan;CENTRAL AND SOUTHERN ASIA;Central Asia;685502;771612
68;931;Bolivia;LATIN AMERICA AND THE CARIBBEAN;South America;10048597;11673029
70;925;Bosnia and Herzegovina;EUROPE;Southern Europe;3705478;3280815
72;913;Botswana;SUB-SAHARAN AFRICA;Southern Africa;1987106;2351625
76;931;Brazil;LATIN AMERICA AND THE CARIBBEAN;South America;195713637;212559409
96;920;Brunei;EASTERN AND SOUTH-EASTERN ASIA;South-Eastern Asia;388634;437483
100;923;Bulgaria;EUROPE;Eastern Europe;7425011;6948445
854;914;Burkina Faso;SUB-SAHARAN AFRICA;Western Africa;15605211;20903278
108;910;Burundi;SUB-SAHARAN AFRICA;Eastern Africa;8675606;11890781
132;914;Cabo Verde;SUB-SAHARAN AFRICA;Western Africa;492644;555988
116;920;Cambodia;EASTERN AND SOUTH-EASTERN ASIA;South-Eastern Asia;14312205;16718971
120;911;Cameroon;SUB-SAHARAN AFRICA;Middle Africa;20341236;26545864
124;918;Canada;NORTHERN AMERICA;NORTHERN AMERICA;34147566;37742157
140;911;Central African Republic;SUB-SAHARAN AFRICA;Middle Africa;4386765;4829764
148;911;Chad;SUB-SAHARAN AFRICA;Middle Africa;11952134;16425859
152;931;Chile;LATIN AMERICA AND THE CARIBBEAN;South America;17062531;19116209
156;906;China;EASTERN AND SOUTH-EASTERN ASIA;Eastern Asia;1368810604;1439323774
170;931;Colombia;LATIN AMERICA AND THE CARIBBEAN;South America;45222699;50882884
178;911;Congo (Brazzaville);SUB-SAHARAN AFRICA;Middle Africa;4273738;5518092
180;911;Congo (Kinshasa);SUB-SAHARAN AFRICA;Middle Africa;64563853;89561404
188;916;Costa Rica;LATIN AMERICA AND THE CARIBBEAN;Central America;4577371;5094114
384;914;Cote d'Ivoire;SUB-SAHARAN AFRICA;Western Africa;20532944;26378275
191;925;Croatia;EUROPE;Southern Europe;4328163;4105268
192;915;Cuba;LATIN AMERICA AND THE CARIBBEAN;Caribbean;11225833;11326616
196;922;Cyprus;NORTHERN AFRICA AND WESTERN ASIA;Western Asia;1112617;1207361
203;923;Czechia;EUROPE;Eastern Europe;10536514;10708982
208;924;Denmark;EUROPE;Northern Europe;5554849;5792203
262;910;Djibouti;SUB-SAHARAN AFRICA;Eastern Africa;840194;988002
212;915;Dominica;LATIN AMERICA AND THE CARIBBEAN;Caribbean;70877;71991
214;915;Dominican Republic;LATIN AMERICA AND THE CARIBBEAN;Caribbean;9695117;10847904
218;931;Ecuador;LATIN AMERICA AND THE CARIBBEAN;South America;15011114;17643060
818;912;Egypt;NORTHERN AFRICA AND WESTERN ASIA;Northern Africa;82761244;102334403
222;916;El Salvador;LATIN AMERICA AND THE CARIBBEAN;Central America;6183877;6486201
226;911;Equatorial Guinea;SUB-SAHARAN AFRICA;Middle Africa;943640;1402985
232;910;Eritrea;SUB-SAHARAN AFRICA;Eastern Africa;3170437;3546427
233;924;Estonia;EUROPE;Northern Europe;1332103;1326539
748;913;Eswatini;SUB-SAHARAN AFRICA;Southern Africa;1064841;1160164
231;910;Ethiopia;SUB-SAHARAN AFRICA;Eastern Africa;87639962;114963583
242;928;Fiji;OCEANIA (EXCLUDING AUSTRALIA AND NEW ZEALAND);Melanesia;859816;896444
246;924;Finland;EUROPE;Northern Europe;5365784;5540718
250;926;France;EUROPE;Western Europe;62879535;65273512
266;911;Gabon;SUB-SAHARAN AFRICA;Middle Africa;1624146;2225728
270;914;Gambia;SUB-SAHARAN AFRICA;Western Africa;1793199;2416664
268;922;Georgia;NORTHERN AFRICA AND WESTERN ASIA;Western Asia;4099096;3989175
276;926;Germany;EUROPE;Western Europe;80827001;83783945
288;914;Ghana;SUB-SAHARAN AFRICA;Western Africa;24779614;31072945
300;925;Greece;EUROPE;Southern Europe;10887640;10423056
308;915;Grenada;LATIN AMERICA AND THE CARIBBEAN;Caribbean;106227;112519
320;916;Guatemala;LATIN AMERICA AND THE CARIBBEAN;Central America;14630420;17915567
324;914;Guinea;SUB-SAHARAN AFRICA;Western Africa;10192168;13132792
624;914;Guinea-Bissau;SUB-SAHARAN AFRICA;Western Africa;1522603;1967998
328;931;Guyana;LATIN AMERICA AND THE CARIBBEAN;South America;749430;786559
332;915;Haiti;LATIN AMERICA AND THE CARIBBEAN;Caribbean;9949318;11402533
336;925;Holy See;EUROPE;Southern Europe;783;809
340;916;Honduras;LATIN AMERICA AND THE CARIBBEAN;Central America;8317467;9904608
348;923;Hungary;EUROPE;Eastern Europe;9927380;9660350
352;924;Iceland;EUROPE;Northern Europe;320342;341250
356;5501;India;CENTRAL AND SOUTHERN ASIA;Central Asia;1234281163;1380004385
360;920;Indonesia;EASTERN AND SOUTH-EASTERN ASIA;South-Eastern Asia;241834226;273523621
364;5501;Iran;CENTRAL AND SOUTHERN ASIA;Central Asia;73762519;83992953
368;922;Iraq;NORTHERN AFRICA AND WESTERN ASIA;Western Asia;29741977;40222503
372;924;Ireland;EUROPE;Northern Europe;4554330;4937796
376;922;Israel;NORTHERN AFRICA AND WESTERN ASIA;Western Asia;7346446;8655541
380;925;Italy;EUROPE;Southern Europe;59325232;60461828
388;915;Jamaica;LATIN AMERICA AND THE CARIBBEAN;Caribbean;2810464;2961161
392;906;Japan;EASTERN AND SOUTH-EASTERN ASIA;Eastern Asia;128542349;126476458
400;922;Jordan;NORTHERN AFRICA AND WESTERN ASIA;Western Asia;7261541;10203140
398;5500;Kazakhstan;CENTRAL AND SOUTHERN ASIA;Central Asia;16252273;18776707
404;910;Kenya;SUB-SAHARAN AFRICA;Eastern Africa;42030684;53771300
410;906;South Korea;EASTERN AND SOUTH-EASTERN ASIA;Eastern Asia;49545638;51269183
414;922;Kuwait;NORTHERN AFRICA AND WESTERN ASIA;Western Asia;2991884;4270563
417;5500;Kyrgyzstan;CENTRAL AND SOUTHERN ASIA;Central Asia;5422298;6524191
418;920;Laos;EASTERN AND SOUTH-EASTERN ASIA;South-Eastern Asia;6249168;7275556
428;924;Latvia;EUROPE;Northern Europe;2118855;1886202
422;922;Lebanon;NORTHERN AFRICA AND WESTERN ASIA;Western Asia;4953064;6825442
