Cidade BR,Cidade Perfil BR,Metropolitano Flag BR,População BR,UF BR
Abadia de Goiás,Metropolitano,Região Metropolitana,8773,GO
Abadia dos Dourados,Outro,Interior,6989,MG
Abadiânia,Outro,Interior,20042,GO
Abaeté,Outro,Interior,23237,MG
Abaetetuba,Outro,Interior,157698,PA
Abaiara,Outro,Interior,11737,CE
Abaíra,Outro,Interior,8739,BA
Abaré,Outro,Interior,20086,BA
Abatiá,Outro,Interior,7457,PR
Abdon Batista,Outro,Interior,2563,SC
Abel Figueiredo,Outro,Interior,7434,PA
Abelardo Luz,Outro,Interior,17904,SC
Abre Campo,Outro,Interior,13454,MG
Abreu e Lima,Metropolitano,Região Metropolitana,99990,PE
Abreulândia,Outro,Interior,2579,TO
Acaiaca,Outro,Interior,3994,MG
Açailândia,Outro,Interior,112445,MA
Acajutiba,Outro,Interior,15159,BA
Acará,Outro,Interior,55591,PA
Acarape,Outro,Interior,14929,CE
Acaraú,Outro,Interior,62641,CE
Acari,Outro,Interior,11136,RN
Acauã,Outro,Interior,7084,PI
Aceguá,Outro,Interior,4901,RS
Acopiara,Outro,Interior,54270,CE
Acorizal,Metropolitano,Região Metropolitana,5399,MT
Acrelândia,Metropolitano,Região Metropolitana,15256,AC
Acreúna,Outro,Interior,22366,GO
Açu,Outro,Interior,58017,RN
Açucena,Outro,Interior,9470,MG
Adamantina,Outro,Interior,35068,SP
Adelândia,Outro,Interior,2516,GO
Adolfo,Outro,Interior,3562,SP
Adrianópolis,Metropolitano,Região Metropolitana,5919,PR
Adustina,Outro,Interior,17040,BA
Afogados da Ingazeira,Outro,Interior,37259,PE
Afonso Bezerra,Outro,Interior,11035,RN
Afonso Cláudio,Outro,Interior,30586,ES
Afonso Cunha,Outro,Interior,6524,MA
Afrânio,Outro,Interior,19635,PE
Afuá,Outro,Interior,39218,PA
Agrestina,Outro,Interior,24885,PE
Agricolândia,Outro,Interior,5139,PI
Agrolândia,Outro,Interior,10864,SC
Agronômica,Outro,Interior,5448,SC
Água Azul do Norte,Outro,Interior,27430,PA
Água Boa,Outro,Interior,13735,MG
Água Boa,Outro,Interior,25721,MT
Água Branca,Outro,Interior,20196,AL
Água Branca,Outro,Interior,10234,PB
Água Branca,Outro,Interior,17411,PI
Água Clara,Outro,Interior,15522,MS
Água Comprida,Outro,Interior,1999,MG
Água Doce,Outro,Interior,7145,SC
Água Doce do Maranhão,Outro,Interior,12571,MA
Água Doce do Norte,Outro,Interior,11019,ES
Água Fria,Outro,Interior,16970,BA
Água Fria de Goiás,Outro,Interior,5735,GO
Água Limpa,Outro,Interior,1850,GO
Água Nova,Outro,Interior,3252,RN
Água Preta,Outro,Interior,36771,PE
Água Santa,Outro,Interior,3748,RS
Aguaí,Outro,Interior,36305,SP
Aguanil,Outro,Interior,4486,MG
Águas Belas,Outro,Interior,43443,PE
Águas da Prata,Outro,Interior,8180,SP
Águas de Chapecó,Outro,Interior,6486,SC
Águas de Lindóia,Outro,Interior,18705,SP
Águas de Santa Bárbara,Outro,Interior,6075,SP
Águas de São Pedro,Outro,Interior,3451,SP
Águas Formosas,Outro,Interior,19207,MG
Águas Frias,Outro,Interior,2366,SC
Águas Lindas de Goiás,Outro,Interior,212440,GO
Águas Mornas,Metropolitano,Região Metropolitana,6469,SC
Águas Vermelhas,Outro,Interior,13539,MG
Agudo,Outro,Interior,16461,RS
Agudos,Outro,Interior,37214,SP
Agudos do Sul,Metropolitano,Região Metropolitana,9371,PR
Águia Branca,Outro,Interior,9642,ES
Aguiar,Outro,Interior,5640,PB
Aguiarnópolis,Outro,Interior,6733,TO
Aimorés,Outro,Interior,25167,MG
Aiquara,Outro,Interior,4446,BA
Aiuaba,Outro,Interior,17399,CE
Aiuruoca,Outro,Interior,6003,MG
Ajuricaba,Outro,Interior,7024,RS
Alagoa,Outro,Interior,2674,MG
Alagoa Grande,Outro,Interior,28496,PB
Alagoa Nova,Outro,Interior,20849,PB
Alagoinha,Outro,Interior,14489,PB
Alagoinha,Outro,Interior,14636,PE
Alagoinha do Piauí,Outro,Interior,7651,PI
Alagoinhas,Outro,Interior,151596,BA
Alambari,Outro,Interior,6025,SP
Albertina,Outro,Interior,3007,MG
Alcântara,Metropolitano,Região Metropolitana,22097,MA
Alcântaras,Outro,Interior,11714,CE
Alcantil,Outro,Interior,5492,PB
Alcinópolis,Outro,Interior,5343,MS
Alcobaça,Outro,Interior,22470,BA
Aldeias Altas,Outro,Interior,26532,MA
Alecrim,Outro,Interior,5950,RS
Alegre,Outro,Interior,30084,ES
Alegrete,Outro,Interior,73589,RS
Alegrete do Piauí,Outro,Interior,4915,PI
Alegria,Outro,Interior,3464,RS
Além Paraíba,Outro,Interior,35362,MG
Alenquer,Outro,Interior,56789,PA
Alexandria,Outro,Interior,13577,RN
Alexânia,Outro,Interior,27653,GO
Alfenas,Outro,Interior,79996,MG
Alfredo Chaves,Outro,Interior,14601,ES
Alfredo Marcondes,Outro,Interior,4166,SP
Alfredo Vasconcelos,Outro,Interior,6907,MG
Alfredo Wagner,Metropolitano,Região Metropolitana,10036,SC
Algodão de Jandaíra,Outro,Interior,2567,PB
Alhandra,Metropolitano,Região Metropolitana,19588,PB
Aliança,Outro,Interior,38386,PE
Aliança do Tocantins,Outro,Interior,5390,TO
Almadina,Outro,Interior,5464,BA
Almas,Outro,Interior,7055,TO
Almeirim,Outro,Interior,34109,PA
Almenara,Outro,Interior,41896,MG
Almino Afonso,Outro,Interior,4735,RN
Almirante Tamandaré,Metropolitano,Região Metropolitana,118623,PR
Almirante Tamandaré do Sul,Outro,Interior,1964,RS
Aloândia,Outro,Interior,1995,GO
Alpercata,Outro,Interior,7424,MG
Alpestre,Outro,Interior,6258,RS
Alpinópolis,Outro,Interior,19853,MG
Alta Floresta,Outro,Interior,51782,MT
Alta Floresta D'Oeste,Outro,Interior,22945,RO
Altair,Outro,Interior,4160,SP
Altamira,Outro,Interior,114594,PA
Altamira do Maranhão,Outro,Interior,8128,MA
Altamira do Paraná,Outro,Interior,1942,PR
Altaneira,Outro,Interior,7586,CE
Alterosa,Outro,Interior,14466,MG
Altinho,Outro,Interior,22972,PE
Altinópolis,Outro,Interior,16184,SP
Alto Alegre,Metropolitano,Região Metropolitana,15510,RR
Alto Alegre,Outro,Interior,1638,RS
Alto Alegre,Outro,Interior,4099,SP
Alto Alegre do Maranhão,Outro,Interior,27053,MA
Alto Alegre do Pindaré,Outro,Interior,31919,MA
Alto Alegre dos Parecis,Outro,Interior,13241,RO
Alto Araguaia,Outro,Interior,19044,MT
Alto Bela Vista,Outro,Interior,1937,SC
Alto Boa Vista,Outro,Interior,6822,MT
Alto Caparaó,Outro,Interior,5847,MG
Alto do Rodrigues,Outro,Interior,14529,RN
Alto Feliz,Outro,Interior,3028,RS
Alto Garças,Outro,Interior,12030,MT
Alto Horizonte,Outro,Interior,6414,GO
Alto Jequitibá,Outro,Interior,8317,MG
Alto Longá,Outro,Interior,14304,PI
Alto Paraguai,Outro,Interior,11356,MT
Alto Paraíso,Outro,Interior,2741,PR
Alto Paraíso,Outro,Interior,21428,RO
Alto Paraíso de Goiás,Outro,Interior,7624,GO
Alto Paraná,Outro,Interior,14770,PR
Alto Parnaíba,Outro,Interior,11190,MA
Alto Piquiri,Outro,Interior,9836,PR
Alto Rio Doce,Outro,Interior,11000,MG
Alto Rio Novo,Outro,Interior,7836,ES
Alto Santo,Outro,Interior,17146,CE
Alto Taquari,Outro,Interior,10847,MT
Altônia,Outro,Interior,22056,PR
Altos,Metropolitano,Região Metropolitana,40524,PI
Alumínio,Outro,Interior,18628,SP
Alvarães,Outro,Interior,16041,AM
Alvarenga,Outro,Interior,3907,MG
Álvares Florence,Outro,Interior,3679,SP
Álvares Machado,Outro,Interior,24915,SP
Álvaro de Carvalho,Outro,Interior,5227,SP
Alvinlândia,Outro,Interior,3222,SP
Alvinópolis,Outro,Interior,15203,MG
Alvorada,Metropolitano,Região Metropolitana,210305,RS
Alvorada,Outro,Interior,8412,TO
Alvorada de Minas,Outro,Interior,3606,MG
Alvorada do Gurguéia,Outro,Interior,5419,PI
Alvorada do Norte,Outro,Interior,8660,GO
Alvorada do Sul,Outro,Interior,11406,PR
Alvorada D'Oeste,Outro,Interior,14411,RO
Amajari,Outro,Interior,12796,RR
Amambai,Outro,Interior,39396,MS
Amapá,Outro,Interior,9109,AP
Amapá do Maranhão,Outro,Interior,6962,MA
Amaporã,Outro,Interior,6257,PR
Amaraji,Outro,Interior,22829,PE
Amaral Ferrador,Outro,Interior,7031,RS
Amaralina,Outro,Interior,3812,GO
Amarante,Outro,Interior,17598,PI
Amarante do Maranhão,Outro,Interior,41435,MA
Amargosa,Outro,Interior,37241,BA
Amaturá,Outro,Interior,11536,AM
Amélia Rodrigues,Outro,Interior,25102,BA
América Dourada,Outro,Interior,16094,BA
Americana,Outro,Interior,239597,SP
Americano do Brasil,Outro,Interior,6111,GO
Américo Brasiliense,Outro,Interior,40504,SP
Américo de Campos,Outro,Interior,5969,SP
Ametista do Sul,Outro,Interior,7409,RS
Amontada,Outro,Interior,43452,CE
Amorinópolis,Outro,Interior,3126,GO
Amparo,Outro,Interior,2238,PB
Amparo,Outro,Interior,72195,SP
Amparo de São Francisco,Outro,Interior,2374,SE
Amparo do Serra,Outro,Interior,4713,MG
Ampére,Outro,Interior,19152,PR
Anadia,Outro,Interior,17545,AL
Anagé,Outro,Interior,22005,BA
Anahy,Outro,Interior,2801,PR
Anajás,Outro,Interior,29277,PA
Anajatuba,Outro,Interior,26803,MA
Analândia,Outro,Interior,4995,SP
Anamã,Outro,Interior,13614,AM
Ananás,Outro,Interior,9549,TO
Ananindeua,Metropolitano,Região Metropolitana,530598,PA
Anápolis,Outro,Interior,386923,GO
Anapu,Outro,Interior,27890,PA
Anapurus,Outro,Interior,15732,MA
Anastácio,Outro,Interior,25135,MS
Anaurilândia,Outro,Interior,9035,MS
Anchieta,Outro,Interior,29263,ES
Anchieta,Outro,Interior,5638,SC
Andaraí,Outro,Interior,13143,BA
Andirá,Outro,Interior,20031,PR
Andorinha,Outro,Interior,14595,BA
Andradas,Outro,Interior,41077,MG
Andradina,Outro,Interior,57157,SP
André da Rocha,Outro,Interior,1333,RS
Andrelândia,Outro,Interior,12224,MG
Angatuba,Outro,Interior,25228,SP
Angelândia,Outro,Interior,8520,MG
Angélica,Outro,Interior,10780,MS
Angelim,Outro,Interior,11150,PE
Angelina,Metropolitano,Região Metropolitana,4801,SC
Angical,Outro,Interior,13977,BA
Angical do Piauí,Outro,Interior,6788,PI
Angico,Outro,Interior,3433,TO
Angicos,Outro,Interior,11714,RN
Angra dos Reis,Outro,Interior,203785,RJ
Anguera,Outro,Interior,11221,BA
Ângulo,Outro,Interior,2928,PR
Anhanguera,Outro,Interior,1149,GO
Anhembi,Outro,Interior,6724,SP
Anhumas,Outro,Interior,4115,SP
Anicuns,Outro,Interior,21850,GO
Anísio de Abreu,Outro,Interior,9880,PI
Anita Garibaldi,Outro,Interior,7133,SC
Anitápolis,Metropolitano,Região Metropolitana,3232,SC
Anori,Outro,Interior,21010,AM
Anta Gorda,Outro,Interior,5981,RS
Antas,Outro,Interior,19291,BA
Antonina,Outro,Interior,18980,PR
Antonina do Norte,Outro,Interior,7353,CE
Antônio Almeida,Outro,Interior,3164,PI
Antônio Cardoso,Outro,Interior,11683,BA
Antônio Carlos,Metropolitano,Região Metropolitana,8513,SC
Antônio Carlos,Outro,Interior,11445,MG
Antônio Dias,Outro,Interior,9318,MG
Antônio Gonçalves,Outro,Interior,11798,BA
Antônio João,Outro,Interior,8956,MS
Antônio Martins,Outro,Interior,7145,RN
Antônio Olinto,Outro,Interior,7434,PR
Antônio Prado,Outro,Interior,13050,RS
Antônio Prado de Minas,Outro,Interior,1598,MG
Aparecida,Outro,Interior,8347,PB
Aparecida,Outro,Interior,36157,SP
Aparecida de Goiânia,Metropolitano,Região Metropolitana,578179,GO
Aparecida do Rio Doce,Outro,Interior,2474,GO
Aparecida do Rio Negro,Metropolitano,Região Metropolitana,4795,TO
Aparecida do Taboado,Outro,Interior,25745,MS
Aparecida d'Oeste,Outro,Interior,4196,SP
Aperibé,Outro,Interior,11759,RJ
Apiacá,Outro,Interior,7567,ES
Apiacás,Outro,Interior,10133,MT
Apiaí,Outro,Interior,24374,SP
Apicum-Açu,Outro,Interior,17239,MA
Apiúna,Outro,Interior,10743,SC
Apodi,Outro,Interior,35845,RN
Aporá,Outro,Interior,17731,BA
Aporé,Outro,Interior,4198,GO
Apuarema,Outro,Interior,7330,BA
Apucarana,Outro,Interior,134996,PR
Apuí,Outro,Interior,21973,AM
Apuiarés,Outro,Interior,14600,CE
Aquidabã,Outro,Interior,21563,SE
Aquidauana,Outro,Interior,47871,MS
Aquiraz,Metropolitano,Região Metropolitana,80271,CE
Arabutã,Outro,Interior,4267,SC
Araçagi,Outro,Interior,16987,PB
Araçaí,Outro,Interior,2347,MG
Aracaju,Capital,Região Metropolitana,657013,SE
Araçariguama,Outro,Interior,22364,SP
Araçás,Outro,Interior,12177,BA
Aracati,Outro,Interior,74547,CE
Aracatu,Outro,Interior,13135,BA
Araçatuba,Outro,Interior,197016,SP
Araci,Outro,Interior,54379,BA
Aracitaba,Outro,Interior,2063,MG
Aracoiaba,Outro,Interior,26469,CE
Araçoiaba,Metropolitano,Região Metropolitana,20524,PE
Araçoiaba da Serra,Outro,Interior,34146,SP
Aracruz,Outro,Interior,101220,ES
Araçu,Outro,Interior,3522,GO
Araçuaí,Outro,Interior,36708,MG
Aragarças,Outro,Interior,20118,GO
Aragoiânia,Metropolitano,Região Metropolitana,10308,GO
Aragominas,Outro,Interior,5758,TO
